Monnaie,Cours,1h,24h,7j,Volume sur 24h,Capitalisation du marché
HOPR HOPR HOPR,"$0,265820",1.0%,0.7%,0.9%,$1 625 918,$30 549 391
SelfKey KEY KEY,"$0,010919195204",2.5%,-9.4%,-3.9%,$14 582 330,$30 493 974
StarShip STARSHIP STARSHIP,"$1,60",-0.2%,11.8%,331.4%,$383 642,$30 326 989
chrono.tech TIME TIME,"$42,61",1.5%,-4.1%,-21.3%,$496 517,$30 208 244
DVF DVF DVF,"$4,30",-0.0%,-0.4%,2.3%,$171 410,$30 089 283
DaTa eXchange Token DTX DTX,"$0,132696",?,?,?,?,$29 856 581
DEAPCOIN DEP DEP,"$0,006914903793",1.1%,2.0%,-8.9%,$8 494 520,$29 563 041
LBRY Credits LBC LBC,"$0,047086439950",3.8%,-12.2%,22.9%,$271 006,$29 485 333
Nash NEX NEX,"$1,01",0.8%,-42.3%,25.2%,"$304,72",$29 392 815
Vertcoin VTC VTC,"$0,464268",0.9%,-5.8%,-6.4%,$368 911,$29 077 316
AntiMatter MATTER MATTER,"$0,928948",0.7%,-3.3%,5.4%,$446 618,$29 076 062
Interest Bearing Bitcoin IBBTC IBBTC,$57 701,,-6.8%,-8.0%,$110 346,$29 058 456
Float Protocol BANK BANK,"$229,11",-0.1%,1.4%,3.2%,$1 395 330,$28 958 742
Atletico Madrid Fan Token ATM ATM,"$12,92",1.0%,-6.6%,-11.5%,$5 856 658,$28 841 703
Troy TROY TROY,"$0,014960240648",1.1%,-12.5%,-19.9%,$10 715 075,$28 515 441
e-Money NGM NGM,"$0,803956",0.7%,-7.0%,-4.9%,$710 466,$28 501 925
Tulip Protocol TULIP TULIP,"$20,48",0.2%,22.9%,16.5%,$5 273 599,$28 467 161
Gifto GTO GTO,"$0,042900018145",1.7%,-9.8%,-3.0%,$5 606 253,$28 430 687
Mithril MITH MITH,"$0,045873369572",1.3%,-8.8%,-11.2%,$7 854 288,$28 346 783
MASS MASS MASS,"$0,288830",-0.9%,-11.0%,-9.9%,$1 727 546,$28 311 472
Waltonchain WTC WTC,"$0,966766",-0.1%,-7.7%,-1.1%,$20 161 033,$28 259 806
Media Licensing Token MLT MLT,"$0,302132",1.1%,3.8%,-8.0%,$343 392,$28 145 940
GivingToServices SVS SVS SVS,"$0,006580555782",-0.4%,-0.0%,303.7%,$34 574,$27 903 785
COCOS BCX COCOS COCOS,"$0,663552",0.5%,-5.5%,6.5%,$3 282 222,$27 867 176
Aragon Court ANJ ANJ,"$0,214582",0.0%,0.0%,-17.1%,"$0,000000000000",$27 605 051
ZeroSwap ZEE ZEE,"$0,455457",1.3%,-3.9%,0.2%,$438 946,$27 478 498
Origin Dollar OUSD OUSD,"$1,01",0.3%,-0.1%,0.1%,$1 412 467,$27 445 515
Mint Club MINT MINT,"$0,000023803469",2.3%,-16.3%,413.5%,$1 834 526,$27 358 847
Darwinia Network Native Token RING RING,"$0,054482001210",-2.0%,-10.0%,6.3%,$1 620 913,$27 347 357
Poolz Finance POOLZ POOLZ,"$9,60",0.9%,-8.4%,7.1%,$1 696 160,$27 268 166
Binamon BMON BMON,"$0,189599",2.5%,12.6%,-11.4%,$4 271 586,$27 240 205
Dash Diamond DASHD DASHD,"$1,19",-2.8%,-7.6%,-6.6%,$105 524,$27 126 799
QANplatform QANX QANX,"$0,047609582815",1.0%,-7.7%,-8.0%,$628 887,$27 119 193
Belt BELT BELT,"$6,27",-0.0%,-6.8%,-5.8%,$714 243,$27 112 014
Adappter Token ADP ADP,"$0,051132258104",0.1%,-8.0%,0.1%,$1 178 973,$27 080 819
Aeron ARNX ARNX,"$0,044770543792",?,?,?,?,$26 905 295
PolkaBridge PBR PBR,"$0,750181",1.9%,-7.6%,21.6%,$1 039 745,$26 871 383
BiLira TRYB TRYB,"$0,104668",0.7%,-0.2%,-2.4%,$7 496 677,$26 656 912
SuperBid SUPERBID SUPERBID,"$3,69",6.2%,4.6%,2.7%,$1 401 648,$26 649 555
Ternoa CAPS CAPS,"$0,085048831608",0.4%,-6.1%,-8.5%,$460 362,$26 602 638
DxSale Network SALE SALE,"$1,97",-1.4%,75.2%,71.7%,$133 031,$26 546 372
Oxbull Tech OXB OXB,"$3,72",1.0%,3.8%,1.9%,$283 547,$26 469 961
Shirtum SHI SHI,"$0,268050",0.1%,-13.1%,6.4%,$2 455 454,$26 365 928
Galatasaray Fan Token GAL GAL,"$7,44",0.6%,-5.1%,-7.2%,$3 725 581,$26 319 331
Betu BETU BETU,"$0,248507",1.6%,-4.9%,15.0%,$1 576 061,$26 010 309
Mysterium MYST MYST,"$0,805531",0.5%,-7.8%,39.3%,$335 739,$25 998 297
Navcoin NAV NAV,"$0,363434",1.2%,-10.2%,-11.7%,$330 307,$25 965 923
Unisocks SOCKS SOCKS,$85 642,0.4%,-8.2%,-4.9%,"$14 623,01",$25 863 355
BLOCKv VEE VEE,"$0,007854913650",2.0%,-7.5%,-15.8%,"$6 297,69",$25 832 414
Ferrum Network FRM FRM,"$0,222927",2.9%,-3.7%,-4.1%,$1 085 490,$25 800 823
vVSP VVSP VVSP,"$10,42",0.2%,0.6%,5.6%,"$4 734,15",$25 705 368
Mirrored Google MGOOGL MGOOGL,"$2 972,24",0.4%,4.7%,6.4%,$1 483 530,$25 541 927
Solrise Finance SLRS SLRS,"$0,527980",0.5%,-3.5%,-19.7%,$506 919,$25 295 553
88mph MPH MPH,"$65,34",-0.4%,-9.8%,-41.2%,$658 662,$25 126 814
Swop SWOP SWOP,"$16,91",-3.1%,-10.3%,-2.4%,$857 262,$25 125 714
Mirrored Tesla MTSLA MTSLA,"$1 061,69",0.5%,1.4%,14.7%,$2 066 669,$25 102 493
Tidal Finance TIDAL TIDAL,"$0,010739093874",0.1%,-22.3%,-29.4%,$3 424 621,$24 990 116
Mirrored Microsoft MMSFT MMSFT,"$325,34",0.7%,4.0%,5.8%,$1 406 857,$24 960 084
WOM Protocol WOM WOM,"$0,248961",-3.8%,9.3%,-0.7%,$7 487 715,$24 892 387
Adora Token ARA ARA,"$0,155232",,0.5%,4.7%,$1 862 047,$24 837 149
Skycoin SKY SKY,"$1,19",3.1%,-7.2%,-2.3%,$726 434,$24 800 501
Wall Street Games WSG WSG,"$0,000000081618",-0.4%,-8.8%,-23.0%,$2 808 803,$24 755 975
Metaverse Index MVI MVI,"$145,26",0.0%,-3.1%,5.7%,$69 238,$24 677 329
YF Link YFL YFL,"$519,34",0.5%,-0.4%,31.8%,"$15 466,16",$24 499 081
UniLayer LAYER LAYER,"$1,02",-1.0%,-11.8%,-27.2%,$5 659 194,$24 461 954
Measurable Data Token MDT MDT,"$0,040170072891",0.9%,-8.2%,-10.2%,$2 508 158,$24 357 198
WagyuSwap WAG WAG,"$0,883965",-3.4%,22.3%,116.2%,$825 993,$24 323 387
Suterusu SUTER SUTER,"$0,006954783575",2.9%,-15.1%,18.9%,$1 682 811,$24 282 496
Ultiledger ULT ULT,"$0,012628297500",5.3%,-8.3%,-6.8%,$149 493,$24 275 496
Mirrored Invesco QQQ Trust MQQQ MQQQ,"$384,63",0.4%,-0.3%,1.7%,$205 616,$24 203 846
MORK MORK MORK,"$3,15",?,?,?,?,$24 186 148
Sakura SKU SKU,"$0,227996",-0.2%,-6.7%,-4.8%,$828 116,$24 167 530
Conscious Value Network CVNT CVNT,"$1,95",2.0%,-8.1%,-20.7%,$1 884 483,$24 132 936
Thoreum THOREUM THOREUM,"$0,012929896626",0.9%,-5.8%,-30.8%,$164 720,$24 081 601
Mercurial MER MER,"$0,436279",0.7%,-1.5%,-7.7%,$500 987,$23 995 325
Lithium Finance LITH LITH,"$0,026737915488",0.3%,-7.8%,-19.1%,$4 687 468,$23 981 077
Populous PPT PPT,"$0,661692",0.4%,-7.2%,-15.7%,$1 073 189,$23 915 065
OneLedger OLT OLT,"$0,055071437505",-0.0%,11.0%,-1.5%,$1 581 651,$23 879 315
FortKnoxster FKX FKX,"$0,158678",0.7%,-0.0%,158.1%,$4 631 718,$23 789 871
Standard Protocol STND STND,"$1,10",4.0%,6.6%,72.6%,$3 710 263,$23 779 921
Crypterium CRPT CRPT,"$0,282504",2.0%,1.7%,35.9%,$898 657,$23 777 093
Synthetify Token SNY SNY,"$4,18",0.6%,0.5%,-14.1%,$153 121,$23 753 250
Mirrored Apple MAAPL MAAPL,"$150,86",0.5%,-0.6%,1.1%,$267 645,$23 748 366
Bean BEAN BEAN,"$0,980978",0.8%,-0.5%,-1.7%,$163 548,$23 638 375
Manifold Finance FOLD FOLD,"$36,46",0.5%,6.2%,-22.1%,$730 703,$23 504 171
mStable Governance Token: Meta MTA MTA,"$0,824355",0.5%,-16.5%,-14.1%,$2 325 524,$23 500 320
Neblio NEBL NEBL,"$1,26",0.8%,-7.5%,-17.6%,$605 677,$23 341 254
Unmarshal MARSH MARSH,"$1,49",-4.4%,-15.7%,29.5%,$3 472 572,$23 277 015
Mirrored Netflix MNFLX MNFLX,"$673,11",0.4%,0.3%,4.6%,$279 382,$23 215 853
GAMEE GMEE GMEE,"$0,309452",1.5%,-6.6%,-5.4%,$1 074 070,$23 211 846
Mirrored Amazon MAMZN MAMZN,"$3 480,34",1.3%,1.1%,-2.6%,$346 543,$23 192 990
Equilibria XEQ XEQ,"$0,415546",-0.6%,-6.1%,-30.7%,$90 105,$23 164 094
Bankless DAO BANK BANK,"$0,089954063814",-0.2%,-0.2%,7.2%,$71 120,$23 037 818
Gains Farm GFARM2 GFARM2,"$638,18",-5.7%,5.9%,-2.2%,$60 168,$22 896 267
DeHub DEHUB DEHUB,"$0,006883028344",-0.2%,-7.1%,12.9%,$151 643,$22 893 929
BABB BAX BAX,"$0,000700126676",3.5%,-11.0%,7.0%,$1 126 618,$22 863 221
Unicly CryptoPunks Collection UPUNK UPUNK,"$0,091442084079",0.6%,-4.9%,2.7%,"$19 353,91",$22 860 521
ERC20 ERC20 ERC20,"$0,020253587889",0.4%,-6.3%,2.0%,"$1 434,92",$22 858 858
Steam Exchange STEAMX STEAMX,"$0,000227090158",1.1%,-7.7%,199.5%,$449 638,$22 709 016
Tarot TAROT TAROT,"$1,86",-0.6%,-14.7%,-0.5%,$2 477 568,$22 570 502
PepeCash PEPECASH PEPECASH,"$0,032412735670",,-5.4%,10.0%,"$868,08",$22 570 148
Nest Protocol NEST NEST,"$0,011119666316",-0.3%,-5.5%,-14.1%,$5 149 595,$22 568 133
pBTC35A PBTC35A PBTC35A,"$104,79",0.7%,-0.2%,0.5%,$126 815,$22 487 202
Ambrosus AMB AMB,"$0,037430021745",1.2%,-7.2%,-5.3%,$412 699,$22 433 231
Mirrored iShares Silver Trust MSLV MSLV,"$22,73",0.6%,-1.2%,2.3%,$482 360,$22 335 476
Unicly UNIC UNIC,"$87,62",0.6%,-3.2%,-12.3%,$43 962,$22 327 152
Modefi MOD MOD,"$1,58",1.1%,-8.5%,19.3%,$387 581,$22 244 169
Govi GOVI GOVI,"$2,28",0.5%,-8.1%,4.3%,$431 875,$22 123 755
veCRV-DAO yVault YVE-CRVDAO YVE-CRVDAO,"$1,64",0.0%,-4.8%,32.1%,"$11 855,39",$22 083 050
Mirrored United States Oil Fund MUSO MUSO,"$58,83",0.5%,-1.6%,3.3%,$501 775,$21 928 327
NAGA NGC NGC,"$0,280977",0.8%,8.9%,-5.1%,$87 998,$21 891 001
Circuits of Value COVAL COVAL,"$0,012248117215",1.2%,-11.5%,-21.6%,$48 005,$21 813 682
InsurAce INSUR INSUR,"$1,55",1.4%,-3.8%,-2.7%,$1 660 067,$21 794 240
Switcheo SWTH SWTH,"$0,012909445775",-0.2%,-5.7%,-9.1%,$96 803,$21 777 414
Seascape Crowns CWS CWS,"$9,83",1.9%,24.6%,20.9%,$5 019 817,$21 766 901
Bao Finance BAO BAO,"$0,000296631601",0.0%,-2.2%,-0.1%,$1 095 732,$21 763 659
Sentivate SNTVT SNTVT,"$0,008492470559",5.4%,30.6%,24.8%,$817 299,$21 665 846
Dora Factory DORA DORA,"$7,04",0.4%,-6.8%,4.0%,$12 697 607,$21 646 183
Peercoin PPC PPC,"$0,794189",0.4%,-3.9%,-11.6%,$20 443,$21 598 576
Oraichain Token ORAI ORAI,"$10,55",-2.6%,-2.4%,43.5%,$916 561,$21 574 514
Penguin Finance PEFI PEFI,"$1,18",1.4%,-9.1%,23.3%,$888 344,$21 494 293
Signum SIGNA SIGNA,"$0,010011561073",0.4%,-5.5%,-31.4%,$22 581,$21 373 629
Particl PART PART,"$1,83",4.2%,-5.2%,-6.2%,$23 193,$21 302 387
BNB48 Club Token KOGE KOGE,"$10,63",?,?,?,?,$21 291 748
LIQ Protocol LIQ LIQ,"$1,64",-0.7%,-11.1%,62.4%,$1 877 312,$21 285 308
Launchpool LPOOL LPOOL,"$2,27",0.3%,2.4%,2.3%,$646 720,$21 254 475
FOAM FOAM FOAM,"$0,059684515288",,-6.9%,-14.7%,$28 014,$21 209 785
Ledgis LED LED,"$0,516177",0.4%,-11.1%,13.4%,$112 662,$21 199 808
K21 K21 K21,"$1,69",0.5%,0.3%,9.5%,$677 931,$21 080 742
HBTC Captain Token HBC HBC,"$2,57",0.9%,-18.2%,-12.2%,$787 086,$20 960 692
Lambda LAMB LAMB,"$0,011268079371",1.5%,-10.6%,-11.4%,$3 947 887,$20 928 154
Finxflo FXF FXF,"$0,255303",0.7%,-9.8%,-8.0%,$381 617,$20 909 341
GeroWallet GERO GERO,"$0,133247",0.2%,-2.4%,-8.1%,$341 033,$20 848 872
Router Protocol ROUTE ROUTE,"$2,81",0.3%,-2.6%,-12.9%,$1 621 720,$20 687 116
BitZ Token BZ BZ,"$0,161305",?,?,?,?,$20 646 579
ACryptoS ACS ACS,"$19,76",0.5%,17.9%,111.1%,$268 579,$20 623 842
EQIFi EQX EQX,"$0,347675",2.4%,-6.6%,0.6%,$1 674 512,$20 562 738
Opium OPIUM OPIUM,"$2,84",0.9%,16.6%,13.7%,$1 145 021,$20 560 233
Bitcoin 2 BTC2 BTC2,"$1,14",0.3%,-23.0%,-10.6%,"$3 958,21",$20 543 568
Feisty Doge NFT NFD NFD,"$0,000366423952",1.2%,-13.9%,42.5%,$1 283 024,$20 535 491
Ignis IGNIS IGNIS,"$0,026849694690",2.0%,0.8%,13.4%,$412 322,$20 436 483
Pinknode PNODE PNODE,"$0,237262",-4.1%,-5.8%,67.6%,$173 150,$20 397 719
Peony Coin PNY PNY,"$0,463594",0.9%,-4.2%,10.7%,$274 425,$20 393 744
dHEDGE DAO DHT DHT,"$1,05",-1.2%,-3.8%,-1.1%,$574 202,$20 323 989
Oddz ODDZ ODDZ,"$0,537982",4.4%,52.9%,45.6%,$4 896 876,$20 323 961
Pandacoin PND PND,"$0,000588821358",-0.2%,1801.6%,77.0%,"$88,32",$20 312 259
ETHPad ETHPAD ETHPAD,"$0,148137",9.4%,-5.7%,-6.8%,$784 529,$20 294 810
Stakenet XSN XSN,"$0,167209",-0.0%,-5.8%,21.1%,$24 958,$20 294 052
Only1 LIKE LIKE,"$0,382127",1.0%,-2.0%,-11.0%,$1 320 993,$20 190 193
LABS Group LABS LABS,"$0,009488802038",0.3%,-1.7%,7.9%,$843 221,$20 178 435
Mirrored Alibaba MBABA MBABA,"$177,05",0.5%,-0.7%,-0.3%,$571 984,$20 116 323
MakiSwap MAKI MAKI,"$0,173669",1.4%,1.7%,-12.3%,$1 571 426,$20 106 429
Port Finance PORT PORT,"$5,02",1.4%,-7.8%,-11.2%,$1 611 091,$20 065 379
Infinity Pad IPAD IPAD,"$0,032627036757",0.5%,-8.7%,-1.5%,$205 281,$19 902 492
ZB Token ZB ZB,"$0,268129",0.2%,-3.7%,-1.2%,$2 462 609,$19 836 982
Million MM MM,"$19,84",11.0%,8.8%,32.5%,$542 302,$19 835 677
TruBadger TRUBGR TRUBGR,"$0,000000035757",0.5%,-6.1%,-17.3%,$23 492,$19 826 432
GYEN GYEN GYEN,"$0,008869130613",0.9%,1.0%,0.9%,$2 820 551,$19 720 412
Sylo SYLO SYLO,"$0,006040184391",0.0%,-11.4%,26.1%,$1 621 077,$19 717 818
Mirrored Twitter MTWTR MTWTR,"$59,48",0.5%,-7.1%,-3.0%,$2 657 386,$19 675 705
Opacity OPCT OPCT,"$0,161279",-0.5%,-11.0%,46.9%,$753 531,$19 546 767
ShapeShift FOX Token FOX FOX,"$0,304466",-1.1%,-7.8%,1.8%,$219 017,$19 514 409
APWine APW APW,"$4,38",0.0%,-11.1%,-8.7%,$482 040,$19 429 396
LaunchZone LZ LZ,"$3,51",0.9%,-7.1%,-0.3%,$81 953,$19 407 955
Stratos STOS STOS,"$1,22",0.7%,-9.0%,-24.6%,$597 259,$19 334 969
My DeFi Pet DPET DPET,"$1,59",1.3%,-7.4%,1.7%,$3 096 921,$19 284 426
The Crypto Prophecies TCP TCP,"$0,300326",1.1%,-13.6%,90.9%,$4 447 892,$19 274 439
Charli3 C3 C3,"$1,04",-0.1%,-7.8%,0.2%,$217 448,$19 159 056
Don-key DON DON,"$0,779692",-3.0%,-12.1%,142.9%,$184 026,$19 055 768
ELYSIA EL EL,"$0,007377299313",0.2%,-6.3%,3.6%,$851 271,$18 996 597
Crypto Carbon Energy CYCE CYCE,"$1,89",0.3%,0.2%,1.3%,$460 570,$18 982 015
Civilization CIV CIV,"$0,063223962025",-8.1%,-22.9%,-30.2%,$371 939,$18 967 189
Pibble PIB PIB,"$0,001602186809",-0.2%,-7.6%,-11.8%,$97 387,$18 855 587
KICK.IO KICK KICK,"$0,181010",0.3%,0.9%,-11.7%,$946 605,$18 837 933
EpiK Protocol EPK EPK,"$0,466135",-0.0%,-8.6%,12.2%,$291 758,$18 821 993
BTC 2x Flexible Leverage Index BTC2X-FLI BTC2X-FLI,"$70,62",-0.3%,-10.0%,-14.9%,$526 535,$18 750 356
Nebulas NAS NAS,"$0,408311",1.7%,-7.6%,2.7%,$3 217 314,$18 573 431
TokenClub TCT TCT,"$0,031894508023",0.7%,-10.5%,-11.2%,$2 215 524,$18 384 550
Blank BLANK BLANK,"$0,837995",0.5%,-10.5%,28.2%,$284 338,$18 383 389
Enecuum ENQ ENQ,"$0,093575651213",1.2%,-6.7%,22.4%,$730 431,$18 326 502
BlackDragon Token BDT BDT,"$15,81",,-1.3%,0.1%,$57 654,$18 314 811
Konomi Network KONO KONO,"$0,614618",0.6%,-7.1%,-14.0%,$1 033 350,$18 247 451
ICHI ICHI ICHI,"$4,96",1.1%,-2.2%,20.8%,$706 475,$18 219 575
Bread BRD BRD,"$0,214515",1.9%,-5.4%,9.7%,$419 536,$18 203 539
StackOS STACK STACK,"$0,065288340927",-0.4%,-16.1%,81.7%,$1 648 333,$18 181 588
Scream SCREAM SCREAM,"$125,82",-1.4%,-10.9%,-14.6%,$3 021 736,$18 172 823
EverRise RISE RISE,"$0,000000028633",2.6%,-1.3%,5.8%,$286 830,$18 164 018
PolySwarm NCT NCT,"$0,011682958630",-4.1%,0.5%,4.6%,$97 401,$18 067 195
0chain ZCN ZCN,"$0,374168",0.7%,4.2%,8.1%,$393 548,$18 063 806
NXT NXT NXT,"$0,018069022026",0.6%,-5.9%,-4.0%,$359 695,$18 041 349
WPP Token WPP WPP,"$0,006260671927",7.3%,18.9%,-14.3%,"$19 488,40",$18 008 736
Bridge Mutual BMI BMI,"$0,278693",1.8%,-2.4%,20.7%,$118 714,$17 969 037
AXEL AXEL AXEL,"$0,175575",4.2%,-3.7%,-5.5%,$320 259,$17 759 898
Credmark CMK CMK,"$0,748142",0.2%,-4.2%,108.0%,$66 923,$17 730 398
SALT SALT SALT,"$0,201802",-0.2%,-8.5%,-7.8%,$46 862,$17 654 575
DuckDaoDime DDIM DDIM,"$16,58",-0.2%,-2.2%,-3.2%,$70 864,$17 621 216
Robonomics Network XRT XRT,"$16,35",2.8%,-5.7%,-5.0%,$800 844,$17 598 194
Dentacoin DCN DCN,"$0,000025495664",1.2%,0.1%,2.8%,$323 560,$17 577 335
Idavoll Network IDV IDV,"$0,022095053531",0.1%,-1.8%,8.2%,$968 201,$17 551 826
Dope Wars Paper PAPER PAPER,"$0,020212180711",12.3%,-2.3%,-30.0%,$221 354,$17 536 593
B.Protocol BPRO BPRO,"$7,60",-0.2%,-14.0%,4.3%,$70 761,$17 533 842
XMON XMON XMON,"$7 701,42",,15.7%,18.2%,$257 309,$17 322 187
Blockchain Monster Hunt BCMC BCMC,"$1,79",5.4%,5.3%,9.1%,$8 863 011,$17 310 209
Decentr DEC DEC,"$0,181642",-5.2%,-21.6%,-29.3%,$464 066,$17 247 325
Swingby SWINGBY SWINGBY,"$0,064879415203",1.2%,-9.4%,7.9%,$550 750,$17 221 349
BitKan KAN KAN,"$0,003157593664",0.2%,-15.0%,1.8%,$1 955 432,$17 153 667
Reserve RSV RSV,"$1,01",0.7%,0.2%,-0.3%,$44 173,$17 148 581
KIRA Network KEX KEX,"$0,567027",-0.1%,-5.1%,-2.3%,$268 535,$17 131 375
Saito SAITO SAITO,"$0,015983187454",2.2%,-0.9%,3.2%,$667 691,$17 087 823
Dexlab DXL DXL,"$0,290423",-1.7%,-8.9%,1.9%,$279 703,$17 041 063
UpBots UBXT UBXT,"$0,042607409121",1.5%,6.4%,39.8%,$1 852 468,$16 950 059
Midas Protocol MAS MAS,"$0,052693189089",0.0%,0.0%,3059.3%,"$0,000000000000",$16 861 821
XAYA CHI CHI,"$0,293523",-2.5%,-4.7%,3.3%,$40 407,$16 726 916
GROWTH DeFi GRO GRO,"$61,01",1.2%,4.2%,-30.5%,$413 903,$16 719 450
Gelato GEL GEL,"$1,71",0.6%,-10.4%,-13.8%,$1 437 969,$16 676 175
Thought THT THT,"$0,047593648971",1.5%,-8.3%,37.2%,$41 696,$16 645 955
Cashaa CAS CAS,"$0,023569528270",3.1%,12.7%,37.8%,$2 547 459,$16 575 945
Wownero WOW WOW,"$0,319651",8.6%,3.8%,-14.3%,$68 646,$16 559 950
GridPlus GRID GRID,"$0,421432",0.3%,-3.3%,12.0%,$100 292,$16 548 152
Talken TALK TALK,"$0,793896",1.7%,-8.0%,-12.7%,$1 505 492,$16 539 505
AC Milan Fan Token ACM ACM,"$8,29",1.1%,-5.5%,-5.8%,$4 196 313,$16 516 390
Koinos KOIN KOIN,"$0,170358",0.1%,-3.9%,17.6%,"$6 919,18",$16 497 004
 MiniDOGE MINIDOGE MINIDOGE,"$0,000000019613",0.2%,14.3%,26.5%,$702 609,$16 420 429
Pika PIKA PIKA,"$0,000000170660",11.7%,4.0%,21.6%,$61 548,$16 361 909
Jupiter JUP JUP,"$0,020480139589",-0.1%,-15.8%,-20.5%,$1 081 777,$16 342 300
CSP DAO Network NEBO NEBO,"$15,12",,-8.2%,52.7%,$71 768,$16 304 776
Asian Fintech AFIN AFIN,"$0,195268",0.0%,6.8%,2.3%,$219 720,$16 265 972
FREE coin FREE FREE,"$0,000002008095",0.8%,2.6%,-1.6%,$519 093,$16 116 858
Nectar NEC NEC,"$0,101689",0.0%,0.0%,27.7%,"$0,000000000000",$16 099 928
SIX Network SIX SIX,"$0,058770127982",1.3%,-2.4%,-4.0%,$367 486,$16 073 413
Tixl TXL TXL,"$0,233265",0.5%,-9.1%,-4.6%,$119 380,$16 032 460
PalGold PALG PALG,"$0,645747",0.7%,0.6%,-20.1%,$624 456,$15 951 399
Etherisc DIP Token DIP DIP,"$0,083368570220",1.0%,-4.1%,-1.7%,$52 131,$15 932 516
Eco Value Coin EVC EVC,"$0,004802531674",0.1%,-0.6%,67.3%,"$0,947457",$15 848 355
Aurora AOA AOA,"$0,003646553692",-0.9%,13.2%,103.6%,$1 671 583,$15 806 462
Hyve HYVE HYVE,"$0,461402",2.1%,-3.7%,-16.5%,$1 203 376,$15 803 005
Polylastic POLX POLX,"$0,001706530065",-1.9%,-18.2%,27.7%,$1 534 705,$15 761 275
Annex Finance ANN ANN,"$0,258270",0.6%,-5.1%,3.4%,$768 994,$15 649 904
SpankChain SPANK SPANK,"$0,023091462566",,-3.7%,22.1%,"$388,77",$15 564 646
Quantum Resistant Ledger QRL QRL,"$0,208778",-2.9%,0.4%,-1.5%,$73 973,$15 553 766
Lixir Finance LIX LIX,"$13,77",4.8%,-5.7%,63.0%,$1 301 226,$15 540 591
Freeway Token FWT FWT,"$0,007756173377",0.3%,-6.8%,-11.3%,$1 163 513,$15 526 553
DinoSwap DINO DINO,"$0,301980",1.1%,1.9%,-6.1%,$2 304 095,$15 469 843
Arcblock ABT ABT,"$0,157074",0.5%,-7.1%,3.5%,$3 528 879,$15 436 777
Wirex WXT WXT,"$0,006712291371",4.0%,6.0%,12.6%,$7 150 202,$15 405 261
NFTLaunch NFTL NFTL,"$0,110799",-3.3%,-2.5%,-7.2%,$317 086,$15 362 797
Minter BIP BIP,"$0,003232840517",0.7%,3.6%,14.4%,"$13 881,83",$15 301 669
Metaverse ETP ETP ETP,"$0,188290",-0.3%,-14.5%,-13.5%,$206 291,$15 287 463
Dafi Protocol DAFI DAFI,"$0,035434120612",-0.1%,-0.3%,-17.4%,$215 133,$15 227 252
Hiveterminal token HVN HVN,"$0,042037831633",1.5%,-17.4%,-13.9%,$143 501,$15 169 959
Minds MINDS MINDS,"$1,92",0.5%,-5.2%,1.2%,$21 152,$15 151 584
Plasma Finance PPAY PPAY,"$0,098351973252",-3.4%,-4.9%,-6.2%,$283 566,$15 020 291
Gains GAINS GAINS,"$0,443589",-1.1%,-2.6%,1.7%,$173 387,$15 019 705
ARC Governance ARCX ARCX,"$0,554254",0.6%,3.5%,-21.9%,$43 692,$15 001 469
Offshift XFT XFT,"$3,66",-0.3%,-6.7%,-3.1%,$56 338,$14 995 357
Infinitecoin IFC IFC,"$0,000166320035",1.1%,10.9%,7.8%,"$306,11",$14 980 260
DEGEN Index DEGEN DEGEN,"$7,03",,1.6%,9.6%,$214 547,$14 923 590
OAX OAX OAX,"$0,259176",0.8%,-6.7%,-7.4%,$624 554,$14 903 432
Genesis Vision GVT GVT,"$3,36",1.8%,-6.2%,-4.1%,$261 288,$14 867 353
Furucombo COMBO COMBO,"$0,707716",2.3%,39.7%,126.3%,$5 988 533,$14 840 842
Obortech OBOT OBOT,"$0,111922",0.6%,-4.3%,41.0%,$156 001,$14 829 730
ZBG Token ZT ZT,"$0,029808119432",1.4%,-4.5%,-7.5%,$1 542 978 557,$14 819 564
Factom FCT FCT,"$1,47",9.2%,0.2%,-3.2%,$21 950,$14 818 451
DLP Duck Token DUCK DUCK,"$0,316072",0.6%,-6.6%,-3.4%,$136 094,$14 740 984
Ovr OVR OVR,"$0,804741",3.8%,22.0%,20.7%,$1 037 140,$14 724 047
Public Mint MINT MINT,"$0,257021",0.6%,0.5%,-5.1%,$154 362,$14 712 763
Spectrum Token SPEC SPEC,"$4,02",0.4%,-4.2%,,$711 448,$14 622 869
Pacoca PACOCA PACOCA,"$0,261123",2.5%,-16.4%,-31.7%,$2 381 030,$14 522 390
OpenAlexa Protocol OAP OAP,"$1,10",0.2%,-16.7%,-11.2%,$114 949,$14 458 516
Probit Token PROB PROB,"$0,381104",1.8%,-1.6%,1.5%,$41 648,$14 440 574
Everex EVX EVX,"$0,662378",2.3%,-8.1%,-3.2%,$1 100 042,$14 439 842
Shibavax SHIBX SHIBX,"$0,001469953897",4.3%,-11.1%,42.4%,$375 804,$14 419 346
Zignaly ZIG ZIG,"$0,031060759623",0.5%,-1.2%,2.2%,$175 259,$14 389 013
Connect Financial CNFI CNFI,"$0,575919",0.4%,-8.1%,-15.6%,$125 137,$14 346 871
UniCrypt UNCX UNCX,"$398,40",0.4%,-3.6%,-3.3%,$395 015,$14 345 719
JulSwap JULD JULD,"$0,025457161482",3.7%,-5.4%,-3.8%,$524 974,$14 226 831
Moeda Loyalty Points MDA MDA,"$0,723457",0.1%,-11.1%,-8.8%,$995 659,$14 194 240
